                                                                                                  202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                       Ульяновская область

Регистр.                   Название                 Тип объекта        Географические            Номенкл.
 номер              географического объекта                              координаты                 листа
                                                                                                    карты
                                                                    Широта          Долгота      масштаба
                                                                                                 1 :100 000
   1                           2                          3                     4                     5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0013196    Димитровград                            город обл.      54°13'с.ш.       49°38'в.д.   N-39-064
                                                   знач.

0030724    Новоульяновск                           город обл.      54°09'с.ш.       48°23'в.д.   N-39-061
                                                   знач.

0013172    Ульяновск                               город обл.      54°19'с.ш.       48°24'в.д.   N-39-061
                                                   знач.




                                    Базарносызганский район
0031029   Оськино                 село          53°50'с.ш.       46°17'в.д.   N-38-081
0031031   Палатово                село          54°03'с.ш.       46°16'в.д.   N-38-069
0031032   Панциревка              село          53°48'с.ш.       46°18'в.д.   N-38-081
0031030   Первомайское            село          54°01'с.ш.       45°55'в.д.   N-38-068
0693558   Подгорный               посёлок       53°50'с.ш.       46°18'в.д.   N-38-081
0031015   Поддубное               село          53°43'с.ш.       46°27'в.д.   N-38-081
0031045   Проломиха               село          54°06'с.ш.       46°26'в.д.   N-38-069
0031046   Пятино                  село          54°07'с.ш.       46°08'в.д.   N-38-069

                                                             Стр. 5 из 25
  1                           2                    3                     4                   5

0031047   Репьевка                          село            53°47'с.ш.       46°23'в.д.   N-38-081
0751943   Свет                              рзд.(нп)        53°52'с.ш.       46°13'в.д.   N-38-081
0751945   Свет                              посёлок         53°51'с.ш.       46°13'в.д.   N-38-081
0031169   Старый Колдаис                    деревня         53°47'с.ш.       46°20'в.д.   N-38-081
0693852   Стрельниково                      село            54°15'с.ш.       46°29'в.д.   N-38-069
0031019   Сюксюм                            село            53°49'с.ш.       46°27'в.д.   N-38-081
0030941   Тияпино                           село            54°09'с.ш.       46°07'в.д.   N-38-069
0031049   Троицкое                          село            53°51'с.ш.       46°25'в.д.   N-38-081
0031018   Труслейка                         село            53°54'с.ш.       46°24'в.д.   N-38-081
0031050   Чамзинка                          село            54°04'с.ш.       46°27'в.д.   N-38-069
0030513   Челдаево                          деревня         54°10'с.ш.       46°27'в.д.   N-38-069
0031056   Черемушки                         село            53°45'с.ш.       46°27'в.д.   N-38-081
0031055   Чумакино                          село            54°10'с.ш.       46°20'в.д.   N-38-069
0030945   Шлемасс                           село            54°08'с.ш.       46°26'в.д.   N-38-069
0751944   Юловка                            рзд.(нп)        53°53'с.ш.       46°36'в.д.   N-38-082
0031053   Юлово                             село            53°58'с.ш.       46°29'в.д.   N-38-081
0031052   Яшенка                            посёлок         53°53'с.ш.       46°25'в.д.   N-38-081




                                  Карсунский район
                                  количество записей - 45


0031010   Александровка                     деревня         54°14'с.ш.       46°36'в.д.   N-38-070
0031137   Базарный Урень                    село            54°18'с.ш.       47°17'в.д.   N-38-071
0030982   Беловодье                         село            54°15'с.ш.       46°37'в.д.   N-38-070
0030983   Белозерье                         село            54°20'с.ш.       47°10'в.д.   N-38-059
0030991   Большая Кандарать                 село            54°24'с.ш.       46°59'в.д.   N-38-058
0031142   Большие Поселки                   село            54°16'с.ш.       46°59'в.д.   N-38-070
0031128   Большое Станичное                 село            54°15'с.ш.       46°59'в.д.   N-38-070
0693672   Борок                             посёлок         54°09'с.ш.       47°04'в.д.   N-38-071
0030990   Вальдиватское                     село            54°21'с.ш.       47°00'в.д.   N-38-059
0693847   Грязнуха                          деревня         54°22'с.ш.       47°09'в.д.   N-38-059
0030973   Ермаки                            деревня         54°05'с.ш.       46°39'в.д.   N-38-070
0030974   Ивановский                        посёлок         54°12'с.ш.       47°09'в.д.   N-38-071
0031136   Кадышево                          село            54°20'с.ш.       46°44'в.д.   N-38-058
0013201   Карсун                            раб.посёлок     54°12'с.ш.       46°59'в.д.   N-38-070
0031134   Комаровка                         село            54°17'с.ш.       46°53'в.д.   N-38-070
0031012   Котяково                          село            54°17'с.ш.       46°42'в.д.   N-38-070
0031135   Кошелевка                         деревня         54°11'с.ш.       46°46'в.д.   N-38-070
0031013   Краснополка                       село            54°10'с.ш.       46°56'в.д.   N-38-070
0031131   Красносурское                     село            54°16'с.ш.       46°36'в.д.   N-38-070
0030975   Красный Садок                     посёлок         54°08'с.ш.       46°43'в.д.   N-38-070
0031130   Луговой                           посёлок         54°09'с.ш.       47°03'в.д.   N-38-071
0031011   Малая Кандарать                   село            54°23'с.ш.       46°56'в.д.   N-38-058
0692967   Малая Усть-Уренка                 деревня         54°20'с.ш.       47°02'в.д.   N-38-059

                                                                         Стр. 6 из 25
  1                           2                           3                  4                   5

0031141   Малое Станичное                       село            54°18'с.ш.       47°01'в.д.   N-38-071
0031132   Медянский                             посёлок         54°21'с.ш.       47°24'в.д.   N-38-059
0030997   Нагаево                               село            54°11'с.ш.       46°44'в.д.   N-38-070
0030988   Новое Погорелово                      село            54°09'с.ш.       46°48'в.д.   N-38-070
0030976   Пески                                 деревня         54°11'с.ш.       47°00'в.д.   N-38-071
0031143   Потьма                                село            54°19'с.ш.       46°57'в.д.   N-38-070
0030979   Прислониха                            село            54°16'с.ш.       47°28'в.д.   N-38-071
0693857   Ростислаевка                          деревня         54°15'с.ш.       46°34'в.д.   N-38-070
0693855   Русская Голышевка                     деревня         54°17'с.ш.       46°40'в.д.   N-38-070
0031133   Русские Горенки                       село            54°15'с.ш.       46°43'в.д.   N-38-070
0030985   Сосновка                              село            54°07'с.ш.       46°38'в.д.   N-38-070
0031139   Стрелецкая                            деревня         54°23'с.ш.       46°59'в.д.   N-38-058
0030992   Сухой Карсун                          село            54°11'с.ш.       46°39'в.д.   N-38-070
0031127   Таволжанка                            село            54°10'с.ш.       47°02'в.д.   N-38-071
0031140   Татарская Голышевка                   деревня         54°17'с.ш.       46°40'в.д.   N-38-070
0030989   Татарские Горенки                     село            54°15'с.ш.       46°43'в.д.   N-38-070
0031126   Теньковка                             село            54°21'с.ш.       47°19'в.д.   N-38-059
0030984   Уразовка                              село            54°07'с.ш.       46°41'в.д.   N-38-070
0030993   Урено-Карлинское                      село            54°18'с.ш.       47°15'в.д.   N-38-071
0031124   Усть-Урень                            село            54°23'с.ш.       47°05'в.д.   N-38-059
0751946   Чулочно-носочной фабрики              посёлок         54°09'с.ш.       46°58'в.д.   N-38-070
0031235   Языково                               раб.посёлок     54°18'с.ш.       47°24'в.д.   N-38-071




                                     Кузоватовский район
                                      количество записей - 51


0031099   Агроном                               деревня         53°53'с.ш.       47°59'в.д.   N-38-084
0030833   Азат                                  посёлок         53°56'с.ш.       47°59'в.д.   N-38-084
0031100   Алексеевка                            село            53°24'с.ш.       47°39'в.д.   N-38-096
0030855   Баевка                                село            53°36'с.ш.       47°37'в.д.   N-38-096
0751949   Безводовка                            ст.(нп)         53°29'с.ш.       47°55'в.д.   N-38-096
0031447   Безводовка                            село            53°32'с.ш.       47°58'в.д.   N-38-096
0030477   Беркулейка                            посёлок         53°28'с.ш.       47°50'в.д.   N-38-096
0031102   Бестужевка                            село            53°43'с.ш.       47°44'в.д.   N-38-084
0030778   Верхнее Свияжское                     село            53°37'с.ш.       47°44'в.д.   N-38-096
0693818   Ветловка                              посёлок         53°44'с.ш.       47°50'в.д.   N-38-084
0030783   Волынщина                             село            53°34'с.ш.       47°48'в.д.   N-38-096
0030847   Еделево                               село            53°24'с.ш.       47°45'в.д.   N-38-096
0751947   Екатериновка                          село            53°57'с.ш.       48°01'в.д.   N-39-073
0031116   Ерыклинский участок                   посёлок         53°41'с.ш.       47°54'в.д.   N-38-084
0031115   Жедрино                               село            53°23'с.ш.       47°23'в.д.   N-38-095
0031295   Заводской                             посёлок         53°19'с.ш.       47°49'в.д.   N-38-108
0031114   Зеленый Курган                        посёлок         53°32'с.ш.       47°46'в.д.   N-38-096
0030856   Кивать                                село            53°28'с.ш.       47°41'в.д.   N-38-096

                                                                             Стр. 7 из 25
  1                           2                       3                  4                   5

0693813   Коммуна                           посёлок         53°53'с.ш.       47°50'в.д.   N-38-084
0031113   Коромысловка                      село            53°37'с.ш.       47°42'в.д.   N-38-096
0751950   Коромысловский                    рзд.(нп)        53°33'с.ш.       47°49'в.д.   N-38-096
0030832   Красная Балтия                    село            53°25'с.ш.       47°34'в.д.   N-38-096
0031110   Красный Бор                       посёлок         53°20'с.ш.       47°47'в.д.   N-38-096
0030854   Кузоватово                        село            53°33'с.ш.       47°37'в.д.   N-38-096
0013199   Кузоватово                        раб.посёлок     53°33'с.ш.       47°41'в.д.   N-38-096
0693831   Латышский                         посёлок         53°33'с.ш.       47°48'в.д.   N-38-096
0030762   Лесное Матюнино                   село            53°27'с.ш.       47°26'в.д.   N-38-095
0030782   Лесное Чекалино                   село            53°27'с.ш.       47°36'в.д.   N-38-096
0693834   Лесхоз                            посёлок         53°32'с.ш.       47°41'в.д.   N-38-096
0031101   Малая Борла                       село            53°32'с.ш.       48°01'в.д.   N-39-085
0030897   Налейка                           пос.ст.         53°34'с.ш.       47°29'в.д.   N-38-095
0030565   Никольское                        село            53°22'с.ш.       47°47'в.д.   N-38-096
0030779   Озерки                            село            53°35'с.ш.       47°56'в.д.   N-38-096
0031173   Первомайский                      посёлок         53°53'с.ш.       47°53'в.д.   N-38-084
0031104   Порецкое                          село            53°49'с.ш.       47°54'в.д.   N-38-084
0751948   Приволье                          посёлок         53°34'с.ш.       47°51'в.д.   N-38-096
0129139   Рощино                            посёлок         53°31'с.ш.       47°56'в.д.   N-38-096
0030652   Русская Темрязань                 село            53°32'с.ш.       47°24'в.д.   N-38-095
0030829   Свияжный                          посёлок         53°47'с.ш.       47°53'в.д.   N-38-084
0030780   Смышляевка                        село            53°45'с.ш.       47°44'в.д.   N-38-084
0030781   Спешневка                         село            53°53'с.ш.       47°58'в.д.   N-38-084
0030828   Стоговка                          село            53°58'с.ш.       48°01'в.д.   N-39-073
0030564   Студенец                          село            53°24'с.ш.       47°58'в.д.   N-38-096
0031191   Томылово                          село            53°29'с.ш.       47°53'в.д.   N-38-096
0030830   Трубетчина                        село            53°39'с.ш.       47°52'в.д.   N-38-096
0030563   Уваровка                          село            53°40'с.ш.       47°46'в.д.   N-38-096
0031105   Хвостиха                          село            53°47'с.ш.       47°54'в.д.   N-38-084
0030615   Чертановка                        село            53°49'с.ш.       47°50'в.д.   N-38-084
0031192   Чириково                          село            53°45'с.ш.       47°51'в.д.   N-38-084
0031193   Шемурша                           село            53°21'с.ш.       47°35'в.д.   N-38-096
0031107   Щеголиха                          деревня         53°54'с.ш.       47°59'в.д.   N-38-084




                                   Майнский район
                                  количество записей - 64


0030950   Абрамовка                         село            54°12'с.ш.       47°42'в.д.   N-38-072
0030939   Аксаково                          село            54°10'с.ш.       47°30'в.д.   N-38-072
