                                                                                            202.21
                               Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 13.12.2018

                                        Орловская область

Регистр.                   Название                Тип объекта       Географические        Номенкл.
 номер              географического объекта                            координаты             листа
                                                                                              карты
                                                                   Широта       Долгота    масштаба
                                                                                           1 :100 000
   1                           2                          3                 4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 3


0010410    Ливны                                   город           52°26'        37°37'    N-37-124
                                                   обл.подч.

0064333    Мценск                                  город           53°17'        36°34'    N-37-098
                                                   обл.подч.

0010427    Орел                                    город           52°58'        36°07'    N-37-109
                                                   обл.подч.




                                         Болховский район
0291366   Дегтярень             деревня    52°49'       37°14'     N-37-111
0291370   Дедово                деревня    52°49'       37°13'     N-37-111
0062916   Дичня                 село       52°51'       37°04'     N-37-111
0291369   Дмитриевка            деревня    52°48'       37°12'     N-37-111
0291455   Дмитриевка            деревня    52°43'       37°18'     N-37-111
0062914   Долгое                деревня    52°48'       37°13'     N-37-111
0063710   Елагино               деревня    52°44'       37°10'     N-37-111
0291328   Желевая Дубрава       деревня    52°40'       37°24'     N-37-123
0291327   Желтухино             деревня    52°40'       37°26'     N-37-123
0487279   Ивановка              деревня    52°46'       37°15'     N-37-111
0063871   Ивановка              деревня    52°44'       37°18'     N-37-111
0291454   Ильинка               деревня    52°44'       37°20'     N-37-111
0291351   Каменка               деревня    52°36'       37°25'     N-37-123
0062816   Каменка               село       52°53'       37°06'     N-37-111
0291375   Каменный              посёлок    52°29'       37°17'     N-37-123
0062790   Капитановка           деревня    52°30'       37°17'     N-37-123
0062825   Карповка              деревня    52°46'       37°21'     N-37-111
0291318   Ключики               посёлок    52°45'       37°05'     N-37-111
0062789   Кобзевка              деревня    52°37'       37°23'     N-37-123
0291452   Колодезьский          посёлок    52°41'       37°18'     N-37-111
0291338   Колодецкий            посёлок    52°50'       37°05'     N-37-111
0291373   Колчанка              деревня    52°30'       37°19'     N-37-123
0291334   Колчанка              деревня    52°39'       37°23'     N-37-123
0291322   Коммуна               деревня    52°45'       36°56'     N-37-110
0062937   Коньшино              село       52°39'       37°22'     N-37-123
0063974   Корсунь               село       52°43'       37°00'     N-37-111
0062931   Корытенка             село       52°41'       37°24'     N-37-111
0062935   Красное               село       52°37'       37°14'     N-37-123
0291368   Круглое               деревня    52°47'       37°11'     N-37-111
0291319   Крутовское            деревня    52°44'       36°58'     N-37-110
0291451   Крутое                деревня    52°42'       37°13'     N-37-111
0291316   Кручь                 посёлок    52°34'       37°17'     N-37-123
0291339   Кубановка             деревня    52°50'       37°04'     N-37-111
0291336   Кубань                посёлок    52°39'       37°19'     N-37-123
0291453   Кутузовка             деревня    52°42'       37°24'     N-37-111
0291314   Ленинский             посёлок    52°38'       37°15'     N-37-123
0063780   Лимовое               деревня    52°38'       37°10'     N-37-123
0291350   Липатовка             деревня    52°38'       37°28'     N-37-123

                                                    Стр. 7 из 70
   1                        2          3            4                 5

0291335   Львовка               деревня    52°39'       37°23'     N-37-123
0291349   Малая Гурьевка        деревня    52°37'       37°22'     N-37-123
0291326   Малый Кривец          деревня    52°40'       37°27'     N-37-123
0064235   Малый Синковец        деревня    52°44'       37°15'     N-37-111
0063178   Мартыновка            деревня    52°55'       37°14'     N-37-111
0063204   Массали               деревня    52°48'       37°27'     N-37-111
0291367   Миллионный            посёлок    52°47'       37°24'     N-37-111
0291450   Михайловский          посёлок    52°41'       37°12'     N-37-111
0291359   Моховка               деревня    52°53'       37°13'     N-37-111
0291365   Моховое               деревня    52°44'       37°09'     N-37-111
0487280   Мочилы                деревня    52°32'       37°28'     N-37-123
0291348   Нижние Мочилы         деревня    52°32'       37°25'     N-37-123
0063757   Нижний Жерновец       село       52°30'       37°20'     N-37-123
0291347   Нижняя Любовша        посёлок    52°35'       37°21'     N-37-123
0291448   Никольский            посёлок    52°42'       37°20'     N-37-111
