                                                     Реестр зарегистрированных в АГКГН                                               201.21

                                               географических названий объектов на 28.01.2019
                                                              Липецкая область
                                                               Количество записей - 2025

Регистр.                    Название                        Тип объекта              Административно-   Географические координаты Номенкл.
 номер               географического объекта                                         территориальная                                листа
                                                                                                           Широта        Долгота
                                                                                      (муниципальная)                               карты
                                                                                          привязка           Привязка к другим    масштаба
                                                                                                         географическим объектам 1 : 100 000

   1                            2                                3                            4                    5                  6
0809219   Введенский               сельсовет       Хлевенский район       52°17'       39°04'      N-37-139

0809236   Ведновский               сельсовет       Чаплыгинский район     53°29'       39°47'      N-37-092

0078504   Ведное                   село            Чаплыгинский район     53°29'       39°47'      N-37-092

0079450   Вербилово                село            Липецкий район         52°18'       39°25'      N-37-139

0809142   Вербиловский             сельсовет       Липецкий район         52°18'       39°25'      N-37-139

0078854   Веригино                 село            Становлянский район    52°53'       38°08'      N-37-113

0079525   Верный Путь              посёлок         Усманский район        52°20'       39°49'      N-37-128

0079070   Вертячье                 деревня         Хлевенский район       52°13'       39°21'      N-37-139

0079435   Верхнедрезгалово         село            Краснинский район      52°46'       38°48'      N-37-114

0079436   Верхнее Брусланово       село            Краснинский район      52°56'       38°56'      N-37-114

0078628   Верхнее Казачье          село            Задонский район        52°21'       38°54'      N-37-126

0079442   Верхнее Чесночное        деревня         Воловский район        51°56'       38°01'      M-37-005

0809072   Верхнеказаченский        сельсовет       Задонский район        52°21'       38°54'      N-37-126

0809220   Верхне-Колыбельский      сельсовет       Хлевенский район       52°11'       38°55'      N-37-138

0809042   Верхнеломовецкий         сельсовет       Долгоруковский район   52°14'       38°36'      N-37-138

0809006   Верхнематренский         сельсовет       Добринский район       52°03'       40°11'      N-37-141


                                                                                   Стр. 11 из 82
   1                           2               3                     4                5                  6
0809198   Верхне-Мосоловский       сельсовет       Усманский район         52°03'         40°05'      N-37-141

0809073   Верхнестуденецкий        сельсовет       Задонский район         52°36'         39°04'      N-37-127

0808968   Верхнетелелюйский        сельсовет       Грязинский район        52°21'         39°54'      N-37-128

0808954   Верхнечесноченский       сельсовет       Воловский район         51°55.6'       38°03.7'    M-37-005

0079090   Верхний Ломовец          село            Долгоруковский район    52°14'         38°36'      N-37-138

0078662   Верхний Студенец         село            Задонский район         52°36'         39°04'      N-37-127

0078766   Верхний Телелюй          село            Грязинский район        52°21'         39°54'      N-37-128

0079087   Верхняя Колыбелька       село            Хлевенский район        52°11'         38°55'      N-37-138

0078695   Верхняя Лукавка          село            Грязинский район        52°27'         40°12'      N-37-129

0079383   Верхняя Матренка         село            Добринский район        52°03'         40°11'      N-37-141
