                                                                                                 202.21
                             Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 20.12.2017

                                      Вологодская область

Регистр.                  Название                Тип объекта         Географические            Номенкл.
 номер             географического объекта                              координаты                 листа
                                                                                                   карты
                                                                   Широта          Долгота      масштаба
                                                                                                1 :100 000
   1                          2                           3                    4                     5

                       Населённые пункты, не относящиеся к районам
                                        количество записей - 4


0227162   Серково             деревня        59°36'с.ш.       35°59'в.д.   O-36-024
0242553   Сидорово            деревня        59°51'с.ш.       36°07'в.д.   O-37-001
0036100   Сиуч                ж.-д.ст.(нп)   59°17'с.ш.       36°26'в.д.   O-37-025
0036101   Сиуч                деревня        59°16'с.ш.       36°27'в.д.   O-37-025
0036429   Слатинская          деревня        59°37'с.ш.       36°17'в.д.   O-37-013
0242458   Слобода             деревня        59°46'с.ш.       36°04'в.д.   O-37-001
0272528   Слобода             деревня        60°22'с.ш.       36°05'в.д.   P-37-121
0036023   Слудно              деревня        59°11'с.ш.       36°04'в.д.   O-37-025
0035335   Смородинка          посёлок        59°29'с.ш.       35°40'в.д.   O-36-024
0036431   Сорка               деревня        59°39'с.ш.       36°04'в.д.   O-37-013
0035618   Спирово             деревня        59°37'с.ш.       35°57'в.д.   O-36-024
0227040   Стан                деревня        59°59'с.ш.       35°59'в.д.   O-36-012
0242459   Стармуж             деревня        59°57'с.ш.       36°08'в.д.   O-37-001
0242460   Старое Лукино       деревня        59°54'с.ш.       36°09'в.д.   O-37-001
0227163   Старый Завод        хутор          59°30'с.ш.       35°39'в.д.   O-36-024
0227165   Степаново           деревня        59°31'с.ш.       35°42'в.д.   O-36-024
0036309   Стунино             деревня        59°59'с.ш.       36°23'в.д.   O-37-001
0242461   Суворово            деревня        59°59'с.ш.       36°07'в.д.   O-37-001
0242462   Судаково            деревня        59°53'с.ш.       36°03'в.д.   O-37-001
0242463   Сумароково          деревня        59°51'с.ш.       36°05'в.д.   O-37-001
0244293   Талашманиха         деревня        59°39'с.ш.       36°04'в.д.   O-37-013
0227751   Тарасово            деревня        60°04'с.ш.       35°47'в.д.   P-36-144
0227750   Тарасовская         деревня        60°15'с.ш.       35°41'в.д.   P-36-144
0036533   Терехова            деревня        59°36'с.ш.       36°04'в.д.   O-37-013
0242464   Тереховая           деревня        59°54'с.ш.       36°13'в.д.   O-37-001
0035202   Терьково            деревня        60°02'с.ш.       36°08'в.д.   P-37-133
0686239   Тешемля             ж.-д.ст.(нп)   59°29'с.ш.       35°38'в.д.   O-36-024
0035920   Тешемля             посёлок        59°30'с.ш.       35°38'в.д.   O-36-024
0036430   Тимохино            деревня        59°36'с.ш.       36°04'в.д.   O-37-013
0035520   Тимошино            деревня        60°06'с.ш.       36°12'в.д.   P-37-133
0227164   Тимошкино           деревня        59°30'с.ш.       35°35'в.д.   O-36-024
0036469   Тимошкино           посёлок        59°23'с.ш.       36°09'в.д.   O-37-013
0244292   Тиняково            деревня        59°35'с.ш.       36°19'в.д.   O-37-013
0227166   Токарево            деревня        59°29'с.ш.       35°38'в.д.   O-36-024
0035434   Торопово            деревня        59°31'с.ш.       35°41'в.д.   O-36-024
0036297   Третьяковская       деревня        59°52'с.ш.       36°04'в.д.   O-37-001
0227167   Тупик               посёлок        59°29'с.ш.       35°37'в.д.   O-36-024

                                                          Стр. 6 из 183
  1                           2                     3                     4                   5

0272530   Туржино                            деревня         60°22'с.ш.       36°07'в.д.   P-37-121
0036438   Тырпец                             деревня         59°37'с.ш.       36°25'в.д.   O-37-013
0035414   Угловая                            деревня         60°04'с.ш.       36°10'в.д.   P-37-133
0227752   Федьково                           деревня         60°03'с.ш.       35°41'в.д.   P-36-144
0242465   Федюнино                           деревня         59°58'с.ш.       36°01'в.д.   O-37-001
0273976   Фенчиково                          деревня         60°10'с.ш.       36°11'в.д.   P-37-133
0273977   Фоминская                          деревня         60°06'с.ш.       36°20'в.д.   P-37-133
