                                                                                              202.21
                              Реестр зарегистрированных в АГКГН

               географических названий населённых пунктов на 28.01.2019

                                         Липецкая область

Регистр.                   Название                 Тип объекта       Географические         Номенкл.
 номер              географического объекта                             координаты              листа
                                                                                                карты
                                                                   Широта         Долгота    масштаба
                                                                                             1 :100 000
   1                           2                          3                   4                   5

                        Населённые пункты, не относящиеся к районам
                                         количество записей - 2


0010389    Елец                                    город           52°37'          38°31'    N-37-126
                                                   обл.подч.

0010400    Липецк                                  город           52°37'          39°36'    N-37-128
                                                   обл.подч.




                                         Воловский район
                                         количество записей - 77


0078464   Зверево                 село        53°08'       38°51'     N-37-102
0078462   Знаменка                деревня     53°17'       38°38'     N-37-102
0078520   Знаменская              деревня     53°09'       39°01'     N-37-103
0079876   Зубовский               посёлок     53°25'       38°47'     N-37-090
0078453   Ивановка                село        53°28'       38°48'     N-37-090
0078475   Избищи                  село        53°23'       39°18'     N-37-091
0078452   Измайловка              деревня     53°23'       38°49'     N-37-090
0078471   Ильинка                 деревня     53°16'       38°48'     N-37-102
0078461   Инихово                 деревня     53°19'       38°49'     N-37-102
0079875   Исленьево               деревня     53°30'       38°44'     N-37-090
0079808   Каменка                 деревня     53°21'       39°20'     N-37-091
0079798   Камынино                деревня     53°09'       38°47'     N-37-102
0079806   Катараево               деревня     53°32'       39°01'     N-37-091
0079799   Кобяково                деревня     53°11'       38°52'     N-37-102

                                                       Стр. 5 из 39
  1                         2            3            4                 5

0079241   Колодези                деревня    53°30'       39°05'     N-37-091
0078449   Колодези                село       53°28'       38°47'     N-37-090
0079805   Красная Заря            деревня    53°28'       39°05'     N-37-091
0079795   Красное                 деревня    53°13'       38°44'     N-37-102
0080104   Красный Луч             посёлок    53°11'       39°09'     N-37-103
0080106   Криволучье              деревня    53°16'       38°40'     N-37-102
0080105   Круглое                 село       53°11'       38°54'     N-37-102
0078455   Крюковка                деревня    53°26'       38°46'     N-37-090
0078474   Кудрявщино              село       53°23'       39°01'     N-37-091
0080103   Кутуково                деревня    53°09'       39°03'     N-37-103
0079982   Ларионовка              деревня    53°09'       38°55'     N-37-102
0079983   Левашовка               деревня    53°19'       38°35'     N-37-102
0079984   Лобанки                 деревня    53°19'       38°49'     N-37-102
0079993   Лобачи                  деревня    53°25'       38°59'     N-37-090
0078459   Малинки                 село       53°19'       38°59'     N-37-102
0079992   Маринки                 деревня    53°31'       38°53'     N-37-090
0079990   Масловка                деревня    53°23'       39°08'     N-37-091
0079991   Медведчино              деревня    53°28'       39°03'     N-37-091
0079994   Мирный                  посёлок    53°22'       38°56'     N-37-090
0080192   Натальино               деревня    53°16'       38°54'     N-37-102
0080195   Нелядино                деревня    53°34'       39°00'     N-37-091
0080194   Нижняя Павловка         деревня    53°28'       39°02'     N-37-091
0080193   Николаевка              деревня    53°16'       38°39'     N-37-102
0108404   Никольское              село       53°24'       39°08'     N-37-091
